x_Raw,y_Raw,z_Raw,x_Gravity,y_Gravity,z_Gravity,x_Linear,y_Linear,z_Linear,x_Gyroscope,y_Gyroscope,z_Gyroscope,x_Geomagnetic,y_Geomagnetic,z_Geomagnetic,rotationMatirx0,rotationMatirx1,rotationMatirx2,rotationMatirx3,rotationMatirx4,rotationMatirx5,RrotationMatirx,rotationMatirx7,rotationMatirx8
0.032317616,-9.658701,0.18031445,-0.02774813,-9.7975025,0.42256162,-0.05749362,0.072527885,-0.10055429,-0.048742466,-0.56803846,0.012556794,10.079506,-36.67064,10.929804,-0.7269292,0.010386221,0.68663394,0.6867043,0.015865346,0.72676367,-0.003345357,0.9998201,-0.018665245
0.12095033,-9.68026,0.2761336,-0.0094059585,-9.799059,0.38569322,0.10873411,-0.016160965,-0.23633772,0.009847029,-0.59680057,-0.0012916317,10.360756,-36.89563,10.779804,-0.70082074,0.011589142,0.7132432,0.713228,0.028888851,0.7003364,-0.012488479,0.9995154,-0.02851161
0.20479207,-9.773684,0.12042749,0.002467595,-9.799156,0.38329232,0.032262634,0.022109985,0.09432745,-0.06259089,-0.6426069,0.02640522,10.979507,-37.55188,10.273554,-0.63999856,0.022996124,0.7204608,0.7201784,0.02363383,0.6933863,-0.02094723,0.9997047,-0.0123179685
0.22395591,-9.771288,0.15875515,0.017725678,-9.80095,0.33385426,0.2231178,-0.021892548,-0.22555391,-0.016784558,-0.58401746,-0.0012916317,11.335762,-37.96437,10.123552,-0.6723798,-0.0033847224,0.74019855,0.73985165,0.027878426,0.67219216,-0.022910755,0.9996056,-0.0162407
0.32696146,-9.823989,0.15875515,0.054329377,-9.801425,0.3154463,0.30411074,-0.09780979,-0.24096924,0.05245757,-0.56377745,0.025339955,12.2170105,-38.958115,10.423552,-0.6676343,-0.010190384,0.7444197,0.74374616,0.035540354,0.66751677,-0.033259187,0.9993163,-0.016148899
0.29582024,-9.764102,0.28092456,0.06663197,-9.800906,0.3289342,0.18405247,-0.07392979,-0.015001118,0.03967441,-0.5201016,0.012556794,12.554512,-39.801865,9.936052,-0.6123794,0.0041920417,0.7905529,0.7899844,0.04153379,0.6117187,-0.03027031,0.9991284,-0.028746085
0.21197851,-9.51018,0.34799796,0.09492909,-9.80007,0.3464343,0.19429785,0.11606979,-0.022622049,0.033282828,-0.5605816,0.017883113,13.079514,-41.076874,10.011053,-0.5730707,0.017207336,0.8193253,0.8192034,0.039196394,0.5721622,-0.02226921,0.9990834,-0.03655861
0.19041921,-9.797638,0.36237082,0.099874526,-9.799755,0.3538573,0.07210212,0.06070137,0.07335141,-0.04235088,-0.55419004,0.02640522,13.323265,-41.86438,9.729803,-0.55009276,0.02018655,0.83485955,0.8348777,0.03653927,0.5492213,-0.019418275,0.9991283,-0.03695329
0.35810268,-9.639537,-0.011323828,0.11447809,-9.801395,0.29985657,0.20611757,0.060458183,-0.2826807,-0.055134043,-0.48388264,0.015752586,13.642014,-42.651886,10.161055,-0.6460605,-0.024896914,0.76287997,0.7623828,0.02756253,0.64653903,-0.037123732,0.99931,0.0011739169
0.23353781,-9.697028,0.20426923,0.13506213,-9.802418,0.25447094,0.13549563,0.04560566,-0.122412026,-0.012523505,-0.44340262,0.0072304765,14.3732605,-43.776886,10.236053,-0.57307124,0.0034613153,0.81949824,0.81915194,0.031791892,0.5726948,-0.024071123,0.9994885,-0.021054363
0.34372985,-9.723378,0.16354612,0.15710184,-9.802498,0.23822129,0.24306354,0.050632477,-0.15409023,0.020499665,-0.41144472,0.013622058,14.767014,-45.01439,10.236053,-0.5839821,-0.006990959,0.8117364,0.8109976,0.03848862,0.5837821,-0.03532381,0.99923456,-0.016807012
0.24551521,-9.735355,0.21385115,0.1643912,-9.802351,0.23931283,0.13520102,-0.03664112,-0.03303978,0.0045207115,-0.39653102,0.04131891,14.879509,-45.501892,10.198553,-0.5565524,0.0042141094,0.83080184,0.83043003,0.03315887,0.5561352,-0.025204834,0.99944115,-0.02195417
0.35570723,-9.735355,0.08928627,0.16021796,-9.802738,0.22594044,0.15606947,-0.021944046,-0.060556322,-0.010392978,-0.36670363,0.017883113,14.673264,-46.04564,10.086052,-0.5967947,-0.014447655,0.80226386,0.8015628,0.034761604,0.5968992,-0.036511775,0.9992912,-0.00916484
